Neighborhood,,Date,Day of week,,,Expected Number of Property Crimes,,,
Hastings-Sunrise,,10-May,Thursday,1200pm-1159pm,,4,,,
Hastings-Sunrise,,11-May,Friday,1200am-1159am,,0,,,
Hastings-Sunrise,,11-May,Friday,1200pm-1159pm,,1,,,
Hastings-Sunrise,,12-May,Saturday,1200am-1159am,,3,,,
Hastings-Sunrise,,12-May,Saturday,1200pm-1159pm,,2,,,
Kensington-Cedar Cottage,,10-May,Thursday,1200am-1159am,,4,,,
Kensington-Cedar Cottage,,10-May,Thursday,1200pm-1159pm,,2,,,
Kensington-Cedar Cottage,,11-May,Friday,1200am-1159am,,1,,,
Kensington-Cedar Cottage,,11-May,Friday,1200pm-1159pm,,0,,,
Kensington-Cedar Cottage,,12-May,Saturday,1200am-1159am,,0,,,
Kensington-Cedar Cottage,,12-May,Saturday,1200pm-1159pm,,3,,,
West Point Grey,,10-May,Thursday,1200am-1159am,,0,,,
West Point Grey,,10-May,Thursday,1200pm-1159pm,,0,,,
West Point Grey,,11-May,Friday,1200am-1159am,,3,,,
West Point Grey,,11-May,Friday,1200pm-1159pm,,2,,,
West Point Grey,,12-May,Saturday,1200am-1159am,,1,,,
West Point Grey,,12-May,Saturday,1200pm-1159pm,,2,,,
South Cambie,,10-May,Thursday,1200am-1159am,,1,,,
South Cambie,,10-May,Thursday,1200pm-1159pm,,1,,,
South Cambie,,11-May,Friday,1200am-1159am,,0,,,
South Cambie,,11-May,Friday,1200pm-1159pm,,3,,,
South Cambie,,12-May,Saturday,1200am-1159am,,0,,,
South Cambie,,12-May,Saturday,1200pm-1159pm,,0,,,
Stanley Park,,10-May,Thursday,1200am-1159am,,0,,,
Stanley Park,,10-May,Thursday,1200pm-1159pm,,2,,,
Stanley Park,,11-May,Friday,1200am-1159am,,3,,,
Stanley Park,,11-May,Friday,1200pm-1159pm,,1,,,
Stanley Park,,12-May,Saturday,1200am-1159am,,0,,,
Stanley Park,,12-May,Saturday,1200pm-1159pm,,2,,,
Oakridge,,10-May,Thursday,1200am-1159am,,2,,,
Oakridge,,10-May,Thursday,1200pm-1159pm,,1,,,
Oakridge,,11-May,Friday,1200am-1159am,,0,,,
Oakridge,,11-May,Friday,1200pm-1159pm,,1,,,
Oakridge,,12-May,Saturday,1200am-1159am,,2,,,
Oakridge,,12-May,Saturday,1200pm-1159pm,,3,,,
Musqueam,,10-May,Thursday,1200am-1159am,,2,,,
Musqueam,,10-May,Thursday,1200pm-1159pm,,4,,,
Musqueam,,11-May,Friday,1200am-1159am,,1,,,
Musqueam,,11-May,Friday,1200pm-1159pm,,1,,,
Musqueam,,12-May,Saturday,1200am-1159am,,2,,,
Musqueam,,12-May,Saturday,1200pm-1159pm,,1,,,
Central Business District,,10-May,Thursday,1200am-1159am,,8,,,
Central Business District,,10-May,Thursday,1200pm-1159pm,,13,,,
Central Business District,,11-May,Friday,1200am-1159am,,15,,,
Central Business District,,11-May,Friday,1200pm-1159pm,,7,,,
Central Business District,,12-May,Saturday,1200am-1159am,,10,,,
Central Business District,,12-May,Saturday,1200pm-1159pm,,11,,,
