STATION,NAME,DATE,TMAX,TMIN
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",3/12/03,58,43
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",3/13/03,59,50
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",3/14/03,58,49
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",3/15/03,57,43
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",3/16/03,55,44
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",3/17/03,53,38
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",3/18/03,52,36
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",3/19/03,50,35
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",3/20/03,54,44
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",3/21/03,52,45
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",3/22/03,53,44
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",3/23/03,48,35
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",3/24/03,49,33
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",3/25/03,54,41
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",3/26/03,52,43
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",3/27/03,52,36
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",3/28/03,53,33
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",3/29/03,55,45
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",3/30/03,57,46
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",3/31/03,52,41
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",4/1/03,51,40
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",4/2/03,51,39
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",4/3/03,49,38
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",4/4/03,50,36
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",4/5/03,47,37
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",4/6/03,51,39
USW00024217,"BELLINGHAM INTERNATIONAL AIRPORT, WA US",4/7/03,56,46
