,neighborhood,year,month,day,day_of_week,day_segment,number_of_crimes
68,Kerrisdale,2018,8,3,Friday,1200am-1159am,1.4812358617782593
69,Kerrisdale,2018,8,3,Friday,1200pm-1159pm,1.8736871480941772
70,Dunbar-Southlands,2018,7,28,Saturday,1200am-1159am,1.440307855606079
71,Dunbar-Southlands,2018,7,28,Saturday,1200pm-1159pm,1.850366234779358
72,Dunbar-Southlands,2018,7,29,Sunday,1200am-1159am,1.440307855606079
73,Dunbar-Southlands,2018,7,29,Sunday,1200pm-1159pm,1.850366234779358
74,Dunbar-Southlands,2018,7,30,Monday,1200am-1159am,1.440307855606079
75,Dunbar-Southlands,2018,7,30,Monday,1200pm-1159pm,1.850366234779358
76,Dunbar-Southlands,2018,7,31,Tuesday,1200am-1159am,1.440307855606079
77,Dunbar-Southlands,2018,7,31,Tuesday,1200pm-1159pm,1.850366234779358
78,Dunbar-Southlands,2018,8,1,Wednesday,1200am-1159am,1.4989221096038818
79,Dunbar-Southlands,2018,8,1,Wednesday,1200pm-1159pm,1.9212515354156494
80,Dunbar-Southlands,2018,8,2,Thursday,1200am-1159am,1.4989221096038818
81,Dunbar-Southlands,2018,8,2,Thursday,1200pm-1159pm,1.9212515354156494
82,Dunbar-Southlands,2018,8,3,Friday,1200am-1159am,1.4989221096038818
83,Dunbar-Southlands,2018,8,3,Friday,1200pm-1159pm,1.9212515354156494
84,Sunset,2018,7,28,Saturday,1200am-1159am,1.741269588470459
85,Sunset,2018,7,28,Saturday,1200pm-1159pm,2.21580171585083
86,Sunset,2018,7,29,Sunday,1200am-1159am,1.741269588470459
87,Sunset,2018,7,29,Sunday,1200pm-1159pm,2.21580171585083
88,Sunset,2018,7,30,Monday,1200am-1159am,1.741269588470459
89,Sunset,2018,7,30,Monday,1200pm-1159pm,2.21580171585083
90,Sunset,2018,7,31,Tuesday,1200am-1159am,1.741269588470459
91,Sunset,2018,7,31,Tuesday,1200pm-1159pm,2.21580171585083
92,Sunset,2018,8,1,Wednesday,1200am-1159am,1.7998838424682617
93,Sunset,2018,8,1,Wednesday,1200pm-1159pm,2.286686897277832
94,Sunset,2018,8,2,Thursday,1200am-1159am,1.7998838424682617
95,Sunset,2018,8,2,Thursday,1200pm-1159pm,2.286686897277832
96,Sunset,2018,8,3,Friday,1200am-1159am,1.7998838424682617
97,Sunset,2018,8,3,Friday,1200pm-1159pm,2.286686897277832
98,Arbutus Ridge,2018,7,28,Saturday,1200am-1159am,1.3418567180633545
99,Arbutus Ridge,2018,7,28,Saturday,1200pm-1159pm,1.645349383354187
100,Arbutus Ridge,2018,7,29,Sunday,1200am-1159am,1.3418567180633545
101,Arbutus Ridge,2018,7,29,Sunday,1200pm-1159pm,1.645349383354187
102,Arbutus Ridge,2018,7,30,Monday,1200am-1159am,1.3418567180633545
103,Arbutus Ridge,2018,7,30,Monday,1200pm-1159pm,1.645349383354187
104,Arbutus Ridge,2018,7,31,Tuesday,1200am-1159am,1.3418567180633545
105,Arbutus Ridge,2018,7,31,Tuesday,1200pm-1159pm,1.645349383354187
106,Arbutus Ridge,2018,8,1,Wednesday,1200am-1159am,1.4004706144332886
107,Arbutus Ridge,2018,8,1,Wednesday,1200pm-1159pm,1.7162346839904785
108,Arbutus Ridge,2018,8,2,Thursday,1200am-1159am,1.4004706144332886
109,Arbutus Ridge,2018,8,2,Thursday,1200pm-1159pm,1.7162346839904785
110,Arbutus Ridge,2018,8,3,Friday,1200am-1159am,1.4004706144332886
111,Arbutus Ridge,2018,8,3,Friday,1200pm-1159pm,1.7162346839904785
112,Marpole,2018,7,28,Saturday,1200am-1159am,1.6776350736618042
113,Marpole,2018,7,28,Saturday,1200pm-1159pm,2.1521670818328857
114,Marpole,2018,7,29,Sunday,1200am-1159am,1.6776350736618042
115,Marpole,2018,7,29,Sunday,1200pm-1159pm,2.1521670818328857
116,Marpole,2018,7,30,Monday,1200am-1159am,1.6776350736618042
117,Marpole,2018,7,30,Monday,1200pm-1159pm,2.1521670818328857
118,Marpole,2018,7,31,Tuesday,1200am-1159am,1.6776350736618042
119,Marpole,2018,7,31,Tuesday,1200pm-1159pm,2.1521670818328857
120,Marpole,2018,8,1,Wednesday,1200am-1159am,1.726135492324829
121,Marpole,2018,8,1,Wednesday,1200pm-1159pm,2.2129385471343994
122,Marpole,2018,8,2,Thursday,1200am-1159am,1.726135492324829
123,Marpole,2018,8,2,Thursday,1200pm-1159pm,2.2129385471343994
124,Marpole,2018,8,3,Friday,1200am-1159am,1.726135492324829
125,Marpole,2018,8,3,Friday,1200pm-1159pm,2.2129385471343994
126,Shaughnessy,2018,7,28,Saturday,1200am-1159am,1.4163241386413574
